,X,Y,Z,time,trace
5135,3825204.9895749,-34391.490274705815,2000.0,33807.0,4
5136,3828000.79195428,-34715.11033754492,2000.0,33817.0,4
5137,3830784.1690077013,-34255.88734810093,2000.0,33827.0,4
5138,3833578.0634853956,-33796.47346089205,2000.0,33837.0,4
5139,3836368.7145718,-33331.268817954646,2000.0,33847.0,4
5140,3839149.8339846083,-32869.80410385013,2000.0,33857.0,4
5141,3841932.148888807,-32395.64090991239,2000.0,33867.0,4
5142,3844719.2437926354,-31939.307200224677,2000.0,33877.0,4
5143,3847507.497002207,-31460.363070742267,2000.0,33887.0,4
5144,3850289.932134762,-31006.66293638776,2000.0,33897.0,4
5145,3853087.284435797,-30540.61118072609,2000.0,33907.0,4
5146,3855879.3292383393,-30068.26503990523,2000.0,33917.0,4
5147,3861441.6177737312,-29141.445471521292,2000.0,33937.0,4
5148,3864219.915077491,-28681.48481556552,2000.0,33947.0,4
5149,3867021.2295161504,-28210.19203796107,2000.0,33957.0,4
5150,3869804.1692340127,-27741.864317086507,2000.0,33967.0,4
5151,3872594.726897679,-27286.644596010392,2000.0,33977.0,4
5152,3878164.77192569,-26362.370091878234,2000.0,33997.0,4
5153,3880945.9947175127,-25882.075878381067,2000.0,34007.0,4
5154,3883735.989265415,-25418.446923397638,2000.0,34017.0,4
5155,3886512.8111051368,-24966.47396717223,2000.0,34027.0,4
5156,3889309.322119791,-24503.15611879371,2000.0,34037.0,4
5157,3892086.535263613,-24033.176948481963,2000.0,34047.0,4
5158,3894876.434324189,-23565.40778001926,2000.0,34057.0,4
5159,3897658.47739572,-23103.725802482168,2000.0,34067.0,4
5160,3900453.247243139,-22641.366930133187,2000.0,34077.0,4
5161,3903250.2228423706,-22167.644459093823,2000.0,34087.0,4
5162,3906029.0882132803,-21712.792289884765,2000.0,34097.0,4
5163,3908819.415014809,-21243.49514476659,2000.0,34107.0,4
5164,3911600.929801836,-20787.406173422565,2000.0,34117.0,4
5165,3917170.208779275,-19854.733112421134,2000.0,34137.0,4
5166,3919961.62690256,-19382.183961926454,2000.0,34147.0,4
5167,3922754.784048111,-18916.587894005694,2000.0,34157.0,4
5168,3925533.0951034715,-18462.311482708134,2000.0,34167.0,4
5169,3928315.919972984,-17994.316286479476,2000.0,34177.0,4
5170,3930821.298004957,-16679.443468312216,2000.0,34187.0,4
5171,3933290.1113039902,-15378.776821046135,2000.0,34197.0,4
5172,3935758.472690229,-14077.324964499274,2000.0,34207.0,4
5173,3938257.171735286,-12753.399598015778,2000.0,34217.0,4
5174,3940749.1441631177,-11426.756513196378,2000.0,34227.0,4
5175,3943247.4835790787,-10117.088101972313,2000.0,34237.0,4
5176,3945746.767090528,-8798.374435005853,2000.0,34247.0,4
5177,3948243.539774892,-7472.2799133746785,2000.0,34257.0,4
5178,3950748.3251018766,-6150.125739732888,2000.0,34267.0,4
5179,3953250.6721745185,-4840.5614452857735,2000.0,34277.0,4
5180,3955746.421581791,-3525.7574074077647,2000.0,34287.0,4
5181,3958504.3661558446,-2942.0249787811526,2000.0,34297.0,4
5182,3961259.013462417,-2339.9371444233116,2000.0,34307.0,4
5183,3964029.11503211,-1756.799812276992,2000.0,34317.0,4
5184,3966788.3121949043,-1154.047789585452,2000.0,34327.0,4
5185,3972280.010053678,0.502940870292811,2000.0,34347.0,4
5186,0.0,-0.0,2000.0,19967.0,5
5187,1217.818698999538,-323.5445910189953,2000.0,19977.0,5
5188,2559.223719885968,-673.7859066237182,2000.0,19987.0,5
5189,3917.4657390059847,-1038.3287097401233,2000.0,19997.0,5
5190,5309.415346886968,-1416.8588078231257,2000.0,20007.0,5
5191,6805.9539199292485,-1819.3941895887533,2000.0,20017.0,5
5192,8406.160003954425,-2240.611065652951,2000.0,20027.0,5
5193,10107.363310409935,-2706.689310560168,2000.0,20037.0,5
5194,11901.202737804448,-3180.9928015320593,2000.0,20047.0,5
5195,13787.333783393857,-3688.3688675071867,2000.0,20057.0,5
5196,17865.06025930248,-4775.428071255907,2000.0,20077.0,5
5197,20052.976316581156,-5354.876033056469,2000.0,20087.0,5
5198,22315.660613298434,-5977.153480750591,2000.0,20097.0,5
5199,24749.943688184267,-6617.024545395839,2000.0,20107.0,5
5200,27261.65695765088,-7290.001706716294,2000.0,20117.0,5
5201,29786.94630887737,-7962.711138224928,2000.0,20127.0,5
5202,32297.97689407053,-8639.24871199037,2000.0,20137.0,5
5203,34811.16193128139,-9307.677654496962,2000.0,20147.0,5
5204,42346.927153788194,-11336.426366320407,2000.0,20177.0,5
5205,44845.08402841985,-11999.394015354475,2000.0,20187.0,5
5206,47366.4887278975,-12673.050955957453,2000.0,20197.0,5
5207,52536.13269966342,-13307.896025323256,2000.0,20217.0,5
5208,55117.837704772515,-13628.797289011316,2000.0,20227.0,5
5209,57692.53690119401,-13949.520939949156,2000.0,20237.0,5
5210,60270.54708121764,-14266.224464943383,2000.0,20247.0,5
5211,62850.03359945187,-14581.384213116906,2000.0,20257.0,5
5212,65510.33462266959,-14909.391142478511,2000.0,20267.0,5
5213,68172.19104997782,-15229.425895143819,2000.0,20277.0,5
5214,70825.07025752641,-15554.576401481241,2000.0,20287.0,5
5215,73471.70158727748,-15889.60570155272,2000.0,20297.0,5
5216,76181.61597374853,-16221.862114842952,2000.0,20307.0,5
5217,78895.39864338993,-16572.20910166471,2000.0,20317.0,5
5218,81599.68196018219,-16894.643066740315,2000.0,20327.0,5
5219,84306.55616133458,-17228.2436807045,2000.0,20337.0,5
5220,87016.29737848567,-17564.736338745235,2000.0,20347.0,5
5221,89711.06324107586,-17902.647735181836,2000.0,20357.0,5
5222,92424.84629298307,-18221.606423791494,2000.0,20367.0,5
5223,95013.89196492457,-19045.600860224837,2000.0,20377.0,5
5224,97625.34772851988,-19877.746042924333,2000.0,20387.0,5
5225,100223.45393001642,-20686.464108514636,2000.0,20397.0,5
5226,102829.20014966978,-21507.96151771084,2000.0,20407.0,5
5227,105429.60604423111,-22333.29600784836,2000.0,20417.0,5
5228,108017.15871913818,-23148.015212151255,2000.0,20427.0,5
5229,110621.82253058889,-23980.006664560035,2000.0,20437.0,5
5230,115921.40164589204,-25641.054792212588,2000.0,20457.0,5
5231,118569.28776092967,-26477.368202963902,2000.0,20467.0,5
5232,121222.9682789139,-27310.68230954897,2000.0,20477.0,5
5233,123859.05740570936,-28150.833104447698,2000.0,20487.0,5
5234,126520.81879695298,-28980.66243647237,2000.0,20497.0,5
5235,129198.07733340462,-29843.062635695733,2000.0,20507.0,5
5236,134522.77752490804,-31508.702180834483,2000.0,20527.0,5
5237,137185.58091756576,-32354.206310478217,2000.0,20537.0,5
5238,139964.3111710822,-32307.952280079284,2000.0,20547.0,5
5239,142747.0533198694,-32244.130631917964,2000.0,20557.0,5
5240,145535.20259173348,-32195.89123058898,2000.0,20567.0,5
5241,151050.39134390946,-32106.537401824473,2000.0,20587.0,5
5242,153802.6765136355,-32065.23581402031,2000.0,20597.0,5
5243,156556.1586256185,-32006.577337713832,2000.0,20607.0,5
5244,159297.21010527315,-31964.858286971164,2000.0,20617.0,5
5245,162037.7360318577,-31914.412811457532,2000.0,20627.0,5
5246,164785.87148441272,-31861.99967479794,2000.0,20637.0,5
5247,167512.53637078012,-31825.907495593463,2000.0,20647.0,5
5248,170211.60406137235,-32341.075521065384,2000.0,20657.0,5
5249,172909.08990805043,-32851.65252757342,2000.0,20667.0,5
5250,175610.56462250886,-33356.98650171027,2000.0,20677.0,5
5251,178318.58011869213,-32962.47786845092,2000.0,20687.0,5
5252,183749.5723535083,-32153.964485515833,2000.0,20707.0,5
5253,186463.8149033086,-31770.34477766644,2000.0,20717.0,5
5254,191998.596741675,-30951.02017848337,2000.0,20737.0,5
5255,194755.74345291813,-30532.538669406054,2000.0,20747.0,5
5256,197514.55044494927,-30137.305788766986,2000.0,20757.0,5
5257,200258.5867419547,-29743.59808216631,2000.0,20767.0,5
5258,202988.26188556408,-29337.346740771474,2000.0,20777.0,5
5259,205726.04834285026,-28920.649816319165,2000.0,20787.0,5
5260,208466.23795900855,-28535.21977451986,2000.0,20797.0,5
5261,213924.16855939524,-27727.202182678946,2000.0,20817.0,5
5262,216674.28334824234,-27320.266755224537,2000.0,20827.0,5
5263,219404.30105933323,-26923.76161226582,2000.0,20837.0,5
5264,222138.20202645584,-26519.14999396816,2000.0,20847.0,5
5265,224860.77308286005,-26122.16980067015,2000.0,20857.0,5
5266,227595.90979756523,-25715.65317871621,2000.0,20867.0,5
5267,230330.02355698092,-25319.44555059561,2000.0,20877.0,5
5268,233068.8281960026,-24922.87829587028,2000.0,20887.0,5
5269,235804.2339624426,-24503.50170019533,2000.0,20897.0,5
5270,238540.910104334,-24099.37620444348,2000.0,20907.0,5
5271,241270.26551269804,-23696.703943894925,2000.0,20917.0,5
5272,243999.4944433592,-23305.718055322064,2000.0,20927.0,5
5273,246748.14101594163,-22907.778824530054,2000.0,20937.0,5
5274,249476.40981272145,-22503.104226022355,2000.0,20957.0,5
5275,254944.32010939138,-21692.180057452915,2000.0,20967.0,5
5276,257683.41936343617,-21301.15497418959,2000.0,20977.0,5
5277,260418.63290852564,-20892.206004756543,2000.0,20987.0,5
5278,263144.9990112197,-20483.00770047623,2000.0,20997.0,5
5279,265873.50073116965,-20095.876485528395,2000.0,21007.0,5
5280,268611.78896146873,-19682.485400434147,2000.0,21017.0,5
5281,271349.4394453189,-19292.190976623835,2000.0,21027.0,5
5282,274093.13770851877,-18883.13597164841,2000.0,21037.0,5
5283,276819.0307756343,-18472.778007535602,2000.0,21047.0,5
5284,279518.86421009694,-18125.931914350178,2000.0,21057.0,5
5285,282194.5438860838,-17772.30436292703,2000.0,21067.0,5
5286,284848.13984256383,-17415.85395182457,2000.0,21077.0,5
5287,287501.41669924936,-17053.293378929702,2000.0,21087.0,5
5288,290141.34115741856,-16696.77098288245,2000.0,21097.0,5
5289,292799.7790615788,-16332.40622035592,2000.0,21107.0,5
5290,295446.9242822362,-15985.687589121011,2000.0,21117.0,5
5291,298112.6376753594,-15623.211259235171,2000.0,21127.0,5
5292,300748.57219020743,-15265.124269023201,2000.0,21137.0,5
5293,303397.55458693206,-14922.407854670593,2000.0,21147.0,5
5294,306050.8026856143,-14559.293563244408,2000.0,21157.0,5
5295,308715.14233141235,-14209.754273405433,2000.0,21167.0,5
5296,311362.0095742437,-13852.421618103708,2000.0,21177.0,5
5297,314016.94629405503,-13494.753312002005,2000.0,21187.0,5
5298,316657.381859354,-13140.873193475772,2000.0,21197.0,5
5299,319318.55731533136,-12772.59266001522,2000.0,21207.0,5
5300,321808.54761575843,-11828.138660389373,2000.0,21217.0,5
